Org Name,Budget,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Abby Kelley Foster Charter Public (District),,4450000,Charter District,Charter School Leader,Kathleen Greenwood,10 New Bond Street,,Worcester,MA,1606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Abington,,10000,Public School District,Superintendent,Peter Schafer,171 Adams St,,Abington,MA,2351,781-982-2150,781-982-2157,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Academy Of the Pacific Rim Charter Public (District),,4120000,Charter District,Charter School Leader,Susan Thompson,1 Westinghouse Plaza,,Hyde Park,MA,2136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
Acton,,20000,Public School District,Superintendent,Stephen Mills,16 Charter Road,,Acton,MA,1720,978-264-4700,978-264-3340,"PK,K,01,02,03,04,05,06"
Acton-Boxborough,,6000000,Public School District,Superintendent,Stephen Mills,16 Charter Rd,,Acton,MA,1720,978-264-4700,978-264-3340,"07,08,09,10,11,12"
Acushnet,,30000,Public School District,Superintendent,Stephen Donovan,708 Middle Road,Suite 1,Acushnet,MA,2743,508-998-0260,508-998-0262,"PK,K,01,02,03,04,05,06,07,08"
Adams (non-op),,40000,Public School District,Superintendent,Alfred Skrocki,125 Savoy Road,,Cheshire,MA,1225,413-743-2939,413-743-4135,NA
Adams-Cheshire,,6030000,Public School District,Superintendent,Kristen Gordon,191 Church St,,Cheshire,MA,1225,413-743-2939,413-743-4135,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Advanced Math and Science Academy Charter (District),,4300000,Charter District,Charter School Leader,John Brucato,201 Forest Street,,Marlborough,MA,1752,508-597-2400,508-597-2499,"06,07,08,09,10,11,12"
Agawam,,50000,Public School District,Superintendent,William Sapelli,1305 Springfield St,Suite 1,Feeding Hills,MA,1030,413-821-0548,413-789-1835,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Alford (non-op),,60000,Public School District,Superintendent,David Hastings,PO Box 339,,Sheffield,MA,1257,413-229-8778,413-229-2913,NA
Alma del Mar Charter School (District),,4090000,Charter District,Charter School Leader,Will Gardner,26 Madeira Avenue,,New Bedford,MA,2746,508-542-7153,877-719-8773,"K,01,02,03,04"
Amesbury,,70000,Public School District,Superintendent,Michele Robinson,5 Highland Street,,Amesbury,MA,1913,978-388-0507,978-388-8315,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Amesbury Academy Charter Public (District),,4150000,Charter District,Charter School Leader,Norman Hamond,71 Friend Street,,Amesbury,MA,1913,978-388-8037,978-388-8073,"09,10,11,12"
Amherst,,80000,Public School District,Superintendent,Maria Geryk,170 Chestnut Street,,Amherst,MA,1002,413-362-1810,413-549-6108,"PK,K,01,02,03,04,05,06"
Amherst-Pelham,,6050000,Public School District,Superintendent,Maria Geryk,170 Chestnut Street,,Amherst,MA,1002,413-362-1810,413-549-6108,"07,08,09,10,11,12"
Andover,,90000,Public School District,Superintendent,Marinel McGrath,36 Bartlet Street,,Andover,MA,1810,978-623-8501,978-623-8505,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Aquinnah (non-op),,1040000,Public School District,Superintendent,James Weiss,4 Pine Street,,Vineyard Haven,MA,2568,508-693-2007,508-693-3190,NA
Arlington,,100000,Public School District,Superintendent,Kathleen Bodie,869 Massachusetts Avenue,,Arlington,MA,2476,781-316-3523,781-316-3509,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ashburnham (non-op),,110000,Public School District,Superintendent,Ralph Hicks,11 Oakmont Drive,,Ashburnham,MA,1430,978-827-1434,978-827-5969,NA
Ashburnham-Westminster,,6100000,Public School District,Superintendent,Ralph Hicks,11 Oakmont Drive,c/o Office of the Superintendent,Ashburnham,MA,1430,978-827-1434,978-827-5969,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ashby (non-op),,120000,Public School District,Superintendent,Maureen Marshall,23 Main Street,,Townsend,MA,1469,978-597-8713,978-597-6534,NA
Ashfield (non-op),,130000,Public School District,Superintendent,Michael Buoniconti,24 Ashfield Road,,Shelburne Falls,MA,1370,413-625-0192,413-625-0196,NA
Ashland,,140000,Public School District,Superintendent,Brooke Clenchy,87 West Union Street,,Ashland,MA,1721,508-881-0150,508-881-0161,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Assabet Valley Regional Vocational Technical,,8010000,Public School District,Superintendent,Patrick Collins,215 Fitchburg Street,,Marlborough,MA,1752,508-485-9430,508-460-3472,"09,10,11,12"
Athol (non-op),,150000,Public School District,Superintendent,Anthony Polito,P.O.Box 968,,Athol,MA,1331,978-249-2400,978-249-2402,NA
Athol-Royalston,,6150000,Public School District,Superintendent,Anthony Polito,1062 Pleasant Street,,Athol,MA,1331,978-249-2400,978-249-2402,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Atlantis Charter (District),,4910000,Charter District,Charter School Leader,Robert Beatty,37 Park Street Street,,Fall River,MA,2721,508-672-2181,508-672-2474,"K,01,02,03,04,05,06,07,08"
Attleboro,,160000,Public School District,Superintendent,Kenneth Sheehan,100 Rathbun Willard Drive,,Attleboro,MA,2703,508-222-0012,508-223-1577,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Auburn,,170000,Public School District,Superintendent,Maryellen Brunelle,5 West Street,,Auburn,MA,1501,508-832-7755,508-832-7757,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Avon,,180000,Public School District,Superintendent,Paul Zinni,1 Patrick Clark Drive,,Avon,MA,2322,508-588-0230,508-559-1081,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Ayer (non-op),,190000,Public School District,Superintendent,Carl Mock,141 Washington Street,,Ayer,MA,1432,978-772-8600,978-772-7444,NA
Ayer Shirley School District,,6160000,Public School District,Superintendent,Carl Mock,141 Washington Street,,Ayer,MA,1432,978-772-8600,978-772-7444,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Barnstable,,200000,Public School District,Superintendent,Mary Czajkowski,P O Box 955,,Hyannis,MA,2601,508-862-4953,508-790-6454,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Barnstable Community Horace Mann Charter Public (District),,4270000,Charter District,Charter School Leader,Marilee Cantelmo,165 Bearses Way,,Hyannis,MA,2601,508-790-6485,508-790-6432,"K,01,02,03"
Barre (non-op),,210000,Public School District,Superintendent,Maureen Marshall,872 South Street,,Barre,MA,1005,978-355-4668,978-355-6756,NA
Baystate Academy Charter Public School,,35020000,Charter District,Charter School Leader,Timothy Sneed,334 Franklin Street,,Springfield,MA,1104,413-366-5103,413-366-5101,"06,07"
Becket (non-op),,220000,Public School District,Superintendent,William Cameron,PO Box 299,,Dalton,MA,1227,413-684-0320,413-684-1520,NA
Bedford,,230000,Public School District,Superintendent,Jonathan Sills,97 McMahon Road,,Bedford,MA,1730,781-275-7588,781-275-0885,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Belchertown,,240000,Public School District,Superintendent,Judith Houle,PO Box 841,,Belchertown,MA,1007,413-323-0456,413-323-0448,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Bellingham,,250000,Public School District,Superintendent,Edward Fleury,60 Harpin Street,,Bellingham,MA,2019,508-883-1706,508-883-0180,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Belmont,yes,260000,Public School District,Superintendent,Thomas Kingston,644 Pleasant Street,,Belmont,MA,2478,617-993-5401,617-993-5409,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Benjamin Banneker Charter Public (District),,4200000,Charter District,Charter School Leader,Sherley Bretous-Carre,21 Notre Dame Avenue,,Cambridge,MA,2140,617-497-7771,617-497-4223,"K,01,02,03,04,05,06"
Benjamin Franklin Classical Charter Public (District),,4470000,Charter District,Charter School Leader,Heather Zolnowski,201 Main Street,,Franklin,MA,2038,508-541-3434,508-541-5396,"K,01,02,03,04,05,06,07,08"
Berkley,,270000,Public School District,Superintendent,Thomas Lynch,21 North Main Street,,Berkley,MA,2779,508-822-5220,508-823-1772,"PK,K,01,02,03,04,05,06,07,08"
Berkshire Arts and Technology Charter Public (District),,4140000,Charter District,Charter School Leader,Julia Bowen,1 Commercial Pl,PO Box 267,Adams,MA,1220,413-743-7311,413-743-7327,"06,07,08,09,10,11,12"
Berkshire Hills,,6180000,Public School District,Superintendent,Peter Dillon,50 Main Street,PO Box 617,Stockbridge,MA,1262,413-298-4017,413-298-4017,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Berlin,,280000,Public School District,Superintendent,Nadine Ekstrom,215 Main Street,,Boylston,MA,1505,508-869-2837,508-869-0023,"PK,K,01,02,03,04,05"
Berlin-Boylston,,6200000,Public School District,Superintendent,Nadine Ekstrom,215 Main Street,,Boylston,MA,1505,508-869-2837,508-869-0023,"06,07,08,09,10,11,12"
Bernardston (non-op),,290000,Public School District,Superintendent,Dayle Doiron,97 F Sumner Turner Rd,,Northfield,MA,1360,413-498-2911,413-498-0045,NA
Beverly,,300000,Public School District,Superintendent,Albert Argenziano,502 Cabot St,,Beverly,MA,1915,978-921-6100,978-922-6597,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Billerica,,310000,Public School District,Superintendent,Timothy Piwowar,365 Boston Rd,,Billerica,MA,1821,978-528-7900,978-436-9595,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Blackstone (non-op),,320000,Public School District,Superintendent,Perry Davis,175 Lincoln Street,,Blackstone,MA,1504,508-883-4400,508-883-9892,NA
Blackstone Valley Regional Vocational Technical,,8050000,Public School District,Superintendent,Michael Fitzpatrick,65 Pleasant Street,,Upton,MA,1568,508-529-7758,508-529-3079,"09,10,11,12"
